date,summer,bikini,diet
03/05/2015,29,28,30
10/05/2015,34,28,29
17/05/2015,31,26,27
24/05/2015,34,26,30
31/05/2015,52,35,27
07/06/2015,61,33,29
14/06/2015,53,26,26
21/06/2015,49,23,23
28/06/2015,86,43,24
05/07/2015,57,38,23
12/07/2015,48,30,23
19/07/2015,47,28,23
26/07/2015,39,21,23
02/08/2015,52,31,23
09/08/2015,41,26,23
16/08/2015,29,19,23
23/08/2015,24,17,24
30/08/2015,23,17,20
06/09/2015,16,13,21
13/09/2015,16,12,20
20/09/2015,15,12,19
27/09/2015,13,12,17
04/10/2015,13,12,20
11/10/2015,13,11,18
18/10/2015,14,11,18
25/10/2015,13,10,19
01/11/2015,13,11,19
08/11/2015,11,10,20
15/11/2015,11,10,18
22/11/2015,11,10,16
29/11/2015,12,10,16
06/12/2015,11,10,17
13/12/2015,12,11,16
20/12/2015,13,14,17
27/12/2015,15,16,25
03/01/2016,18,16,37
10/01/2016,18,16,34
17/01/2016,20,17,27
24/01/2016,19,17,28
31/01/2016,17,16,28
07/02/2016,19,20,28
14/02/2016,20,19,29
21/02/2016,20,20,29
28/02/2016,21,18,28
06/03/2016,20,19,31
13/03/2016,21,18,27
20/03/2016,23,21,24
27/03/2016,26,23,29
03/04/2016,28,22,31
10/04/2016,27,21,27
17/04/2016,28,24,28
24/04/2016,28,24,29
01/05/2016,34,28,25
08/05/2016,43,29,29
15/05/2016,34,27,27
22/05/2016,37,32,26
29/05/2016,43,29,27
05/06/2016,50,31,27
12/06/2016,46,25,25
19/06/2016,65,30,22
26/06/2016,49,27,22
03/07/2016,49,29,24
10/07/2016,45,31,23
17/07/2016,51,33,22
24/07/2016,43,30,22
31/07/2016,36,22,21
07/08/2016,30,22,20
14/08/2016,28,21,19
21/08/2016,34,24,22
28/08/2016,28,21,22
04/09/2016,21,16,22
11/09/2016,21,17,22
18/09/2016,15,11,18
25/09/2016,13,11,17
02/10/2016,13,11,17
09/10/2016,11,9,17
16/10/2016,14,9,18
23/10/2016,13,10,18
30/10/2016,13,10,18
06/11/2016,12,10,18
13/11/2016,11,10,18
20/11/2016,12,10,17
27/11/2016,12,10,16
04/12/2016,11,10,14
11/12/2016,12,9,14
18/12/2016,11,10,11
25/12/2016,13,13,17
01/01/2017,16,14,30
08/01/2017,18,13,34
15/01/2017,17,15,29
22/01/2017,18,16,27
29/01/2017,19,16,26
05/02/2017,19,16,24
12/02/2017,20,16,26
19/02/2017,18,17,25
26/02/2017,20,17,26
05/03/2017,20,16,26
12/03/2017,23,18,29
19/03/2017,23,17,26
26/03/2017,28,21,23
02/04/2017,23,19,23
09/04/2017,23,23,21
16/04/2017,24,23,24
23/04/2017,24,21,24
30/04/2017,28,21,26
07/05/2017,29,24,23
14/05/2017,41,29,24
21/05/2017,44,34,22
28/05/2017,56,42,22
04/06/2017,41,30,22
11/06/2017,47,33,22
18/06/2017,72,38,21
25/06/2017,51,26,21
02/07/2017,49,28,21
09/07/2017,43,24,21
16/07/2017,43,26,20
23/07/2017,38,22,20
30/07/2017,38,23,20
06/08/2017,33,19,21
13/08/2017,30,18,20
20/08/2017,28,16,19
27/08/2017,25,15,18
03/09/2017,19,12,18
10/09/2017,14,11,16
17/09/2017,14,10,17
24/09/2017,12,9,16
01/10/2017,13,9,15
08/10/2017,13,10,16
15/10/2017,12,8,18
22/10/2017,12,9,16
29/10/2017,14,10,17
05/11/2017,12,9,17
12/11/2017,12,8,16
19/11/2017,11,9,16
26/11/2017,11,9,14
03/12/2017,12,9,15
10/12/2017,12,9,13
17/12/2017,12,9,12
24/12/2017,13,13,16
31/12/2017,16,15,29
07/01/2018,17,14,28
14/01/2018,18,14,26
21/01/2018,19,15,24
28/01/2018,17,15,23
04/02/2018,17,14,21
11/02/2018,17,15,23
18/02/2018,19,15,22
25/02/2018,20,15,22
04/03/2018,21,17,23
11/03/2018,20,16,22
18/03/2018,22,17,21
25/03/2018,22,19,19
01/04/2018,26,20,23
08/04/2018,32,19,24
15/04/2018,42,22,24
22/04/2018,33,23,23
29/04/2018,31,26,22
06/05/2018,38,27,21
13/05/2018,31,25,21
20/05/2018,42,31,22
27/05/2018,57,37,21
03/06/2018,53,35,20
10/06/2018,45,25,19
17/06/2018,47,23,19
24/06/2018,48,25,17
01/07/2018,57,31,20
08/07/2018,49,27,20
15/07/2018,55,35,18
22/07/2018,75,34,18
29/07/2018,81,39,18
05/08/2018,55,31,17
12/08/2018,37,20,18
19/08/2018,29,17,20
26/08/2018,23,14,17
02/09/2018,19,11,17
09/09/2018,17,10,17
16/09/2018,17,11,17
23/09/2018,14,9,15
30/09/2018,14,9,16
07/10/2018,15,9,17
14/10/2018,13,8,18
21/10/2018,14,8,15
28/10/2018,12,8,15
04/11/2018,12,8,16
11/11/2018,13,8,15
18/11/2018,12,7,14
25/11/2018,12,8,14
02/12/2018,12,8,13
09/12/2018,11,8,13
16/12/2018,12,8,11
23/12/2018,15,11,15
30/12/2018,17,14,30
06/01/2019,19,13,32
13/01/2019,18,13,28
20/01/2019,19,14,24
27/01/2019,18,14,24
03/02/2019,18,14,26
10/02/2019,19,14,24
17/02/2019,21,15,24
24/02/2019,22,15,22
03/03/2019,20,14,25
10/03/2019,21,16,23
17/03/2019,24,18,22
24/03/2019,25,18,21
31/03/2019,27,19,23
07/04/2019,25,19,20
14/04/2019,28,19,20
21/04/2019,36,23,22
28/04/2019,31,20,21
05/05/2019,32,19,20
12/05/2019,36,20,27
19/05/2019,40,20,20
26/05/2019,43,24,19
02/06/2019,65,36,19
09/06/2019,51,31,19
16/06/2019,65,33,20
23/06/2019,100,44,17
30/06/2019,67,36,17
07/07/2019,51,22,16
14/07/2019,44,21,18
21/07/2019,65,32,18
28/07/2019,44,23,17
04/08/2019,37,17,20
11/08/2019,32,15,17
18/08/2019,30,15,17
25/08/2019,33,16,19
01/09/2019,20,12,16
08/09/2019,16,10,15
15/09/2019,15,9,15
22/09/2019,14,9,15
29/09/2019,13,10,15
06/10/2019,13,9,15
13/10/2019,12,8,16
20/10/2019,14,8,16
27/10/2019,14,8,15
03/11/2019,13,8,15
10/11/2019,13,7,14
17/11/2019,12,8,14
24/11/2019,11,8,13
01/12/2019,11,8,13
08/12/2019,12,8,13
15/12/2019,13,8,11
22/12/2019,14,11,14
29/12/2019,17,12,24
05/01/2020,19,12,32
12/01/2020,20,12,33
19/01/2020,19,13,24
26/01/2020,18,14,22
02/02/2020,18,14,21
09/02/2020,16,13,16
16/02/2020,18,14,15
23/02/2020,18,14,14
01/03/2020,18,14,12
08/03/2020,18,12,10
15/03/2020,15,9,7
22/03/2020,16,11,9
29/03/2020,20,11,13
05/04/2020,30,16,16
12/04/2020,33,20,19
19/04/2020,31,13,18
26/04/2020,32,14,19
