Date,Value
2020-04-25T14,15
2020-04-25T15,19
2020-04-25T16,15
2020-04-25T17,13
2020-04-25T18,13
2020-04-25T19,13
2020-04-25T20,14
2020-04-25T21,11
2020-04-25T22,19
2020-04-25T23,28
2020-04-26T00,48
2020-04-26T01,77
2020-04-26T02,100
2020-04-26T03,79
2020-04-26T04,37
2020-04-26T05,50
2020-04-26T06,22
2020-04-26T07,23
2020-04-26T08,13
2020-04-26T09,12
2020-04-26T10,14
2020-04-26T11,14
2020-04-26T12,16
2020-04-26T13,15
2020-04-26T14,24
2020-04-26T15,18
2020-04-26T16,20
2020-04-26T17,15
2020-04-26T18,10
2020-04-26T19,12
2020-04-26T20,10
2020-04-26T21,19
2020-04-26T22,29
2020-04-26T23,55
2020-04-27T00,56
2020-04-27T01,61
2020-04-27T02,88
2020-04-27T03,72
2020-04-27T04,60
2020-04-27T05,37
2020-04-27T06,21
2020-04-27T07,17
2020-04-27T08,11
2020-04-27T09,12
2020-04-27T10,8
2020-04-27T11,10
2020-04-27T12,13
2020-04-27T13,16
2020-04-27T14,16
2020-04-27T15,13
2020-04-27T16,13
2020-04-27T17,14
2020-04-27T18,14
2020-04-27T19,12
2020-04-27T20,10
2020-04-27T21,15
2020-04-27T22,27
2020-04-27T23,47
2020-04-28T00,81
2020-04-28T01,58
2020-04-28T02,84
2020-04-28T03,65
2020-04-28T04,33
2020-04-28T05,31
2020-04-28T06,16
2020-04-28T07,10
2020-04-28T08,12
2020-04-28T09,10
2020-04-28T10,12
2020-04-28T11,13
2020-04-28T12,15
2020-04-28T13,16
2020-04-28T14,18
2020-04-28T15,13
2020-04-28T16,17
2020-04-28T17,12
2020-04-28T18,7
2020-04-28T19,8
2020-04-28T20,11
2020-04-28T21,19
2020-04-28T22,30
2020-04-28T23,45
2020-04-29T00,55
2020-04-29T01,67
2020-04-29T02,78
2020-04-29T03,38
2020-04-29T04,71
2020-04-29T05,29
2020-04-29T06,18
2020-04-29T07,14
2020-04-29T08,10
2020-04-29T09,10
2020-04-29T10,11
2020-04-29T11,9
2020-04-29T12,19
2020-04-29T13,15
2020-04-29T14,16
2020-04-29T15,13
2020-04-29T16,14
2020-04-29T17,9
2020-04-29T18,11
2020-04-29T19,12
2020-04-29T20,9
2020-04-29T21,17
2020-04-29T22,26
2020-04-29T23,33
2020-04-30T00,70
2020-04-30T01,71
2020-04-30T02,63
2020-04-30T03,84
2020-04-30T04,28
2020-04-30T05,43
2020-04-30T06,23
2020-04-30T07,8
2020-04-30T08,11
2020-04-30T09,11
2020-04-30T10,12
2020-04-30T11,11
2020-04-30T12,14
2020-04-30T13,14
2020-04-30T14,14
2020-04-30T15,14
2020-04-30T16,19
2020-04-30T17,13
2020-04-30T18,13
2020-04-30T19,9
2020-04-30T20,10
2020-04-30T21,13
2020-04-30T22,21
2020-04-30T23,35
2020-05-01T00,50
2020-05-01T01,75
2020-05-01T02,79
2020-05-01T03,54
2020-05-01T04,75
2020-05-01T05,33
2020-05-01T06,33
2020-05-01T07,17
2020-05-01T08,15
2020-05-01T09,13
2020-05-01T10,14
2020-05-01T11,12
2020-05-01T12,14
2020-05-01T13,16
2020-05-01T14,15
2020-05-01T15,16
2020-05-01T16,15
2020-05-01T17,12
2020-05-01T18,9
2020-05-01T19,8
2020-05-01T20,8
2020-05-01T21,11
2020-05-01T22,20
2020-05-01T23,34
2020-05-02T00,50
2020-05-02T01,65
2020-05-02T02,88
2020-05-02T03,57
2020-05-02T04,39
2020-05-02T05,27
2020-05-02T06,35
2020-05-02T07,19
2020-05-02T08,15
2020-05-02T09,14
2020-05-02T10,11
2020-05-02T11,11
2020-05-02T12,11
2020-05-02T13,14
